summary,censor_reason,link,type,year,challenger,book_theme,school_district,notes,state,impacted_high_school,impacted_public_library,impacted_elementary_school,impacted_middle_school,impacted_K-12,impacted_P-8
Book Challenge: To Kill A Mockingbird challenged for Intolerance,Intolerance,https://www.hngnews.com/monona_cottage_grove/article_10c03045-3d5b-5d27-8998-71bb928e1dbd.html,Book Challenge,2018,Parent(s),Race,Monona Grove School District,"A parent made formal request to remove To Kill a Mockingbird from the curriculum, citing 28 racial slurs directed at African American characters. The book was ultimately retained.",WI,1,0,0,0,0,0
Book Challenge: The Facts Speak for Themselves challenged for Sex,Sex,https://www.marshall.edu/library/bannedbooks/the-facts-speak-for-themselves/,Book Challenge,2018,Parent(s),Other,Marion County Public Schools,Parents requested the removal of Brock Cole's The Facts Speak for Themselves from the school library due to the book's use of sexually explicit language. Book was apparently removed from the school library without a review process.,FL,0,1,0,0,0,0
Book Challenge: The Hate U Give challenged for Profanity,Profanity,N/A,Book Challenge,2018,Parent(s),Race,Gurnee School District 56,Angie Thomas's The Hate U Give was pulled mid-instruction from middle school classrooms after a staff member complained about profanity. The book had never been officially approved for classroom use.,IL,1,0,0,0,0,0
Book Challenge: The Giver challenged for Dark Themes,Dark Themes,https://www.authorsguild.org/wp-content/uploads/2020/06/Letter-to-Minshew-Schools-re-the-Giver.pdf,Book Challenge,2018,Parent(s),Other,McKinney Independent School Dist,A formal request was submitted to remove The Giver from the curriculum because of references to homicide and sexuality.,TX,0,0,1,0,0,0
Event/Other Expression: Student punished for Political/Social Views,Political/Social Views,https://www.nydailynews.com/news/crime/teacher-arrested-forcing-child-stand-pledge-article-1.3820254,Event/Other Expression,2018,Staff/Admin/Board,N/A,Boulder Valley School District,"A middle student was physically forced to his feet and made to leave the classroom when he chose to not stand for the Pledge of Allegiance, despite 80 years of Supreme Court jurisprudence rendering that unlawful.. A district spokesperson later confirmed that students have the right to decline to participate in the Pledge",CO,0,0,0,1,0,0
Book Challenge: The Hate U Give challenged for Profanity,Profanity,https://ncac.org/wp-content/uploads/2021/12/Case-no-1807-Letter_ISO_THUG_-_Springfield_MO.pdf,Book Challenge,2018,Parent(s),Race,Springfield Public Schools,"The Hate U Give was assigned as a supplemental text to Reed Academy eighth-graders until a parent requested it be removed due to profanity. A Missouri State Representative Anderson also contacted school officials to request the book's removal, citing the same concerns. Consequently, the book was pulled from the classroom, pending further review of its educational merits.",MO,0,0,0,1,0,0
Book Challenge: Looking for Alaska challenged for LGBTQ content,LGBTQ,https://www.authorsguild.org/wp-content/uploads/2020/06/Looking-for-Alaskarev-%E2%80%93-Clinton-NC.pdf,Book Challenge,2018,Parent(s),Other,Clinton City Schools,A challenge was filed to Looking for Alaska by John Green in the High School English curriculum,NC,1,0,0,0,0,0
Book Challenge: A Separate Peace challenged for LGBTQ content,LGBTQ,https://ncac.org/wp-content/uploads/2021/12/Case-no-1809-Letter_to_Prosper_ISO_A_Separate_Peace.pdf,Book Challenge,2018,Parent(s),Other,Prosper Independent School Dist,"A Separate Peace, by John Knowles was abruptly pulled (without prior review) from a Prosper High School English classroom, in response to parental objections to the book's discussion of sexuality",TX,1,0,0,0,0,0
Book Challenge: To Kill A Mockingbird challenged for Intolerance,Intolerance,https://ncac.org/news/Press/Yearbook-release/ncac-opposes-removal-of-to-kill-a-mockingbird-and-huckleberry-finn-from-minnesota-classrooms,Book Challenge,2018,Parent(s),Race,Duluth Public Schools,"To Kill a Mockingbird and The Adventures of Huckleberry Finn were removed from the curriculum without review or teacher input, in violation of district policy",MN,1,0,0,0,0,0
Event/Other Expression: Students censored for Political/Social Views,Political/Social Views,https://thehill.com/blogs/blog-briefing-room/news/374812-texas-school-district-threatens-to-suspend-students-who-protest?rl=3D1,Event/Other Expression,2018,Staff/Admin/Board,N/A,Needville Independent School District,"A Superintendent sent a letter to families and also posted it on social media warning that anyone protesting gun violence [in response to the Parkland, FL school shooting] would face being punished with a 3-day out of school suspension.",TX,0,0,0,0,1,0
