state,bill_number,date_introduced,status,primary_sponsor,description,enforcement_penalties,state_guidance,bill_hyperlink,status_hyperlink,guidance_hyperlinks,targets_k-12,targets_state_agencies,targets_political_subdivisions,targets_colleges,targets_state_institutions,targets_state_contractors
Arizona,Amendment to SB 1532 (added in modified form to the budget bill HB 2898),2021-02-01,"SB 1532 died, but modified version passed as part of HB 2898 and signed into law by Governor Ducey 6/30/21. Note: Subsequently struck down by the Arizona Supreme Court.",Rep. Michelle Udall (R),"Bans ""instruction that presents any form of blame or judgment on the basis of race, ethnicity or sex."" Mandates discipline of teachers who violate these provisions. Allows for suits by attorney general or county attorney against entities in violation.",Civil suit by state AG,None available,https://www.azleg.gov/legtext/55leg/1R/bills/SB1532H.pdf,https://apps.azleg.gov/BillStatus/BillOverview/76131,N/A,1,0,0,0,0,0
Arizona,HB 2906/SB 1840,2021-06-10,Signed into law by Governor Ducey 7/9/21,Sen. David Livingston (R),"Bans ""training, orientation or therapy that presents any form of blame or judgment on the basis of race, ethnicity or sex.""",None specified,None available,https://www.azleg.gov/legtext/55leg/1R/laws/0427.pdf,https://apps.azleg.gov/BillStatus/BillOverview/76158,N/A,0,1,1,0,0,0
Arkansas,SB 627,2021-04-01,Became law without governor's signature 5/3/21,Sen. Trent Garner (R),"Bans state entities (excluding public schools, charter schools, universities, political subdivisions, and law enforcement) from teaching or training of divisive concepts. Bars punishment of state employees for refusing to support such concepts.",Ineligible for state contracts,None available,https://www.arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2021R%2FPublic%2F&file=1100.pdf&ddBienniumSession=2021%2F2021R,https://www.arkleg.state.ar.us/Bills/Detail?tbType=&id=sb627&ddBienniumSession=2021%2F2021R,N/A,0,1,0,0,0,0
Idaho,HB 377,2021-04-21,Signed into law by Governor Little 4/28/21,Rep. Wendy Horman (R),"Bans public schools and institutions of higher education from “direct[ing] or otherwise compel[ing] students to personally affirm, adopt, or adhere” to the outlined ""critical race theory"" tenets. Bars funding for such prohibited acts.",None specified,None available,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2021/legislation/H0377.pdf,https://legislature.idaho.gov/sessioninfo/2021/legislation/H0377/,N/A,1,0,0,1,0,0
Iowa,HF 802,2021-03-08,Signed into law by Governor Reynolds 6/8/21,Committee on Judiciary,"Requires that any mandatory staff training “does not teach, advocate, act upon, or promote” specific defined concepts. Prohibits “specific defined concepts” from being included in public school curriculum.",None specified,"• K-12 Guidance
• Community College Guidance",https://www.legis.iowa.gov/legislation/BillBook?ba=HF%20802&ga=89%20Iowa%20Senate%20bill%20478:%20https://www.legis.iowa.gov/legislation/BillBook?ba=SF%20478&ga=89%20%20Idaho%20Bill%20377:%20https://legislature.idaho.gov/sessioninfo/2021/legislation/H0377/,https://www.legis.iowa.gov/legislation/billTracking/billHistory?billName=HF%20802&ga=89,https://educateiowa.gov/sites/files/ed/documents/2021-07-02_DiversityFreeSpeechGuidance.pdf,1,1,0,1,0,0
New Hampshire,"HB 544 (modified version added to budget bill HB 2 under section ""Right to Freedom from Discrimination in Public Workplaces and Education"")",2021-04-08,Added to budget bill HB 2 as amendment. HB 2 was signed into law by Governor Sununu 6/25/21,"Reps. Keith Ammon, Glenn Cordelli, Jason Osborne (R)","Prohibits public employer or contractors from ""teach[ing], advocat[ing], instruct[ing], or train[ing] any employee, student, service recipient, contractor, staff member, inmate, or any other individual or group"" in certain concepts. Prohibits government programs from ""teach[ing], advocat[ing], or advanc[ing]"" certain concepts. Protects public employees from punishment for refusing to participate in training on certain concepts. Bars public school students from being ""taught, instructed, inculcated or compelled to express belief in, or support for"" certain concepts. ","Private right of action
Professional discipline",Guidance,http://gencourt.state.nh.us/bill_status/legacy/bs2016/billText.aspx?id=714&txtFormat=html&sy=2021,http://gencourt.state.nh.us/bill_status/bill_status.aspx?lsr=1082&sy=2021&sortoption=&txtsessionyear=2021&txtbillnumber=HB2,https://www.doj.nh.gov/civil-rights/documents/faq-educational-programs.pdf,1,0,0,0,1,1
North Dakota,HB 1508,2021-11-08,Signed into law by Governor Burgum 11/12/2021,"Rep. Jim Kasper, Ben Koppelman, Lisa Meier, Karen Rohr, Dan Ruby (R), Sens. Janne Myrdal, Terry Wanzek (R)","Requires that all instruction in public K-12 schools be ""factual"" and ""objective"". Prohibits the inclusion of any instruction related to critical race theory, defined as ""the theory that racism is not merely the product of learned individual bias or prejudice, but that racism is systemically embedded in American society and the American legal system to facilitate racial inequality.""",None specified,None available,https://www.legis.nd.gov/assembly/67-2021/special-session/documents/21-1078-03000.pdf,https://www.legis.nd.gov/assembly/67-2021/special-session/bill-actions/ba1508.html,N/A,1,0,0,0,0,0
Oklahoma,HB 1775,2021-02-01,Signed into law by Governor Stitt 5/7/21,"Rep. Kevin West, Sen. David Bullard (R)","Bans ""mandatory gender or sexual diversity training or counseling"" for students or ""orientation or requirement that presents any form of race or sex stereotyping or a bias on the basis of race or sex"" in higher education. Prohibits schools from using specified concepts in courses.",None specified,Guidance,http://webserver1.lsb.state.ok.us/cf_pdf/2021-22%20ENR/hB/HB1775%20ENR.PDF,http://oklegislature.gov/BillInfo.aspx?Bill=HB1775,https://www.ossba.org/wp-content/uploads/2021/06/HB-1775-Guidance.pdf,1,0,0,1,0,0
South Carolina,"H 4100 (part of state budget under ""Partisanship Curriculum"")",2021-03-16,Signed into law by Governor McMaster 6/25/21,House Ways and Means Committee,"Mandates that funds shall not be used by public schools ""to provide instruction in, to teach, instruct, or train any administrator, teacher, staff member, or employee to adopt or believe, or to approve for use, make use of, or carry out standards, curricula, lesson plans, textbooks, instructional materials, or instructional practices that serve to inculcate"" certain concepts.",None specified,None available,https://www.scstatehouse.gov/sess124_2021-2022/appropriations2021/tap1b.htm,https://www.scstatehouse.gov/billsearch.php?billnumbers=4100&session=124&summary=B,N/A,1,0,0,0,0,0
Tennessee ,HB 580,2021-02-05,Signed into law by Governor Lee 5/25/21,Rep. John Ragan (R),"Bans public schools from including or promoting certain concepts in curriculum. Allows the ""impartial discussion of controversial aspects of history."" Mandates the withholding of at least a portion of state funds for schools not in compliance.",Monetary penalty/Loss of state financial support,Guidance,https://publications.tnsosfiles.com/acts/112/pub/pc0493.pdf,https://wapp.capitol.tn.gov/apps/BillInfo/Default.aspx?BillNumber=HB0580,https://publications.tnsosfiles.com/rules/0520/0520-12/0520-12-04.20211108.pdf,1,0,0,0,0,0
