librarian_comments,region,locality,elementary_school,middle_school,high_school
"""Adult relationships"" that are not ""age appropriate"" in American culture for children. For instance, I would not purchase or even accept a donated copy of ""Waiting to Exhale"" by Terry McMillan for my middle school collection. However, I believe that Angela Johnson's First Part Last is appropriate for some middle school students.",Northeast,Suburban,0,1,0
1. Check www.commonsensemedia.com to see if there are reviews 2. Read reviews on Amazon and other sites 3. Read reviews from professional sources when I look on Follett's site for the book 4. Check out the book from the public library and read it myself.,Midwest,Small Town,1,1,0
1. I read reviews for information on content 2. I look at age recommendations from publisher and reviewers 3. I read the book myself if I'm in doubt or I will talk with a colleague who had read the book.,South Central,Suburban,1,1,0
Age and maturity of middle school students.,Midwest,Suburban,0,1,0
"Age of characters, themes of book, reading level, vocabulary.",Midwest,Suburban,1,0,0
"Age of characters, writing complexity, and reviewed age groups.",Northeast,Urban,1,1,0
"Age of main character, cover appeal, ""adult"" themes.",Pacific,Small Town,0,0,1
Age of main characters and situation characters are in.,Midwest,Suburban,0,0,1
Age of protagonist.,South Atlantic,Urban,0,0,1
"Age of protagonist, situations in the book, high school focus.",Pacific,Small Town,0,0,1
"Age of the main character, age of students potentially reading it.",Midwest,Suburban,1,1,1
Age recommendations from review sources such as SLJ.,South Central,Urban,0,1,0
"Age recommendations from SLJ and Booklist primarily, but I also consider Kirkus. Middle school is a tricky age group to serve, so I try to make sure that the books will speak to my students' concerns in a way they can comprehend. My worry is that books with content that is too mature won't help them make sense of complex issues but instead feed negative social or other dynamics.",Pacific,Suburban,1,1,0
"Amazon suggested age, professional reviews (SLJ, etc.), read personally",Northeast,Small Town,1,0,0
"AR levels, book reviews, personal review.",Mountain,Small Town,1,0,0
"At an elementary school, I choose books with characters and/or topics relevant to kids at elementary school ages.",Midwest,Urban,1,1,0
"As I teach at a secondary school, grades 10-12, most books are age appropriate. Having said that, sometimes I will not choose a book because it's not 'school' appropriate.",Canada,Urban,0,0,1
As much as possible I try to depend on reviews.,South Atlantic,Suburban,1,1,1
"At the 6-8 level, it can be difficult, because 6th graders in the fall are light years away from 8th graders in the spring headed into high school. Violence does not seem to be an issue that causes upset in our community, but sexual content on page is where we typically draw the line. I try to keep language minimal, but that usually isn't the deciding factor, since other factors typically come up first. I look at SLJ reviews and Booklist reviews (compare on Titlewave), and sometimes read Common Sense Media reviews if I am on the fence. Other times I will read the book, or ask for student input on whether there is any content that a younger reader might not be able to handle.",Mountain,Suburban,0,1,0
"Based on experience with the age group I serve, comparable content in other materials, interest shown by age group I serve.",Northeast,Urban,0,0,1
Based on my personal experience as a parent and teacher- knowing developmental levels of children and what I feel most people would be comfortable exposing their children to.,Midwest,Suburban,1,1,0
Based on reviews.,Pacific,Small Town,1,0,0
"Based on reviews from trusted source, previewing materials myself, and reading book reviews in public forums such as Goodreads and Amazon. When I have questions about content, I read the book myself and compare it to others in our existing collection.",South Atlantic,Suburban,0,1,0
"Based on reviews. If I have read a book and find it appropriate regardless of the suggested age, I will consider adding it to the collection.",Northeast,Suburban,1,0,0
Based on the reviews. Even though students request Fifty Shades of Grey we will not be purchasing for the high school library. I tell students if they are interested they can check it out at the public library.,Pacific,Suburban,0,0,1
Book reviews.,South Central,Small Town,1,0,0
Book reviews.,Mountain,Urban,1,1,0
