librarian_comments,region,locality,elementary_school,middle_school,high_school
"A book on terrorism was challenged by a student because the cover showed a pic of Middle Eastern people. He hadn't read it but I gave him the book challenge form, but it never came back. Just as I suspected, he was more interested in creating a stir that actually doing something about it.",Northeast,Urban,0,0,1
A community read book (selected by another librarian in district) was challenged by a parent in my building. I had to provide evidence that book was age-appropriate (commonsense media) and reviewed well. Book was Hoot by Hiaasen and it was challenged due to language - ass damn,Northeast,Small Town,1,1,0
"A kindergarten student took out a book on terrorism but thought it was about fire fighters because of the fire on the front. The parent called and asked why her child would've been allowed to take this book. I explained that it had slipped by in error and yes, it should not have been checked out to her young child. I do not censor titles but I do believe in age appropriateness and do not allow children to take out books that are not age appropriate.",Canada,Small Town,1,1,0
"A parent asked that we remove all goosebumps and similar books from the library. I explained the process for challenging a book. I also explained that they had the right to limit what their child could read, but not what other children could read. They did not go forward with the challenge.",Canada,Urban,1,1,0
"A parent brought a challenge directly to our principal over the title ""L8R, G8R"" by Lauren Myracle. We had TTYL & TTFN also on the shelves and the books were consistently and extremely popular with 6th grade girls. I bought the 3rd book based on the series popularity without having read the book, and by the reviews. I then read the book and agree that it was not appropriate for middle school. However, I believed and still do that the other two books are fine for our school library. The principal supported the parent in requesting all 3 books be removed. My English teachers privately agreed with me, but didn't object the principal's decision.",Pacific,Small Town,0,1,0
"A parent brought concerns about a book to the principal. A meeting was held with myself, principal, district representatives and the parent. We thought she would go through the formal challenge procedure. Instead she went to the Media (print & TV) to try to get the book banned. She felt this was her parental mission - to protect ALL students from this book. She never filed the paperwork and left the district. Administration asked that I remove the book from elementary to prevent any further problems. I acquiesced.",Mountain,Urban,1,1,0
"A parent came in and wanted the book Wicked : the life and times of the wicked witch of the West : a novel, by Gregory Maguire taken off the shelf because of its content. I received information from my principal about a committee that was being formed to make the review. I read the book and made detailed notes on everything I thought she could object to. She came in to find out the particulars and I told her that in order for the challenge to go forward, one of the stipulations by the district review process was that she had to read the entire book so she could see the ""problems"" in the context of the whole book. She was unwilling to do that, so the challenge was dropped and the book stayed on the shelf. I have a sign in my library that very plainly states that there are all kinds of books on the shelves and it is up to the readers and their parents to decide what is best for them. I also sometimes use a little shoe store analogy with students who question my choice of books. When you go to a shoe store, do you throw away every pair of shoes you take off the shelf and don't like? No, you put them back and pretty soon someone will come along who likes those shoes.",Mountain,Suburban,0,0,1
"A parent challenged the book ""Out of the Dust"", stating that it was too violent for her fourth grade student. The challenge was settled by the site level review committee. Reference was made to a former BOE decision on a challenged book that was a result of mediation. The parent did not appeal to the next level (district level review committee). Her student finished the year at our school and, subsequently, was transferred to private school.",South Central,Suburban,1,0,0
"A parent challenged ""The Golden Compass,"" claiming I would turn all the children into atheist. I assured her that was not going to happen and explained it was her right as a parent to tell her child what they could read but not the books in my library. She didn't read the book and never pursued the challenge. I did speak with my admin so they knew what was going on.",Northeast,Suburban,0,1,0
"A parent objected to her daughter borrowing So Hard to Say by Alex Sanchez based on reading the jacket copy. I explained my policy of including books that reflect our school community; she denied the existence of homosexuals in the school community. We have gay staff members, children of gay parents, and children who are gay or questioning, as is the main character in So Hard to Say. The school board president read the book, CCBC provided reviews and support materials. It was the first time anyone else read the library selection policy. The book is still in our collection.",Midwest,Urban,1,1,0
A parent objected to the book Aimee. She did not read the book. Her objection was really about the cover on the book. The model did not appear to have clothes on (wrapped in a sheet) and it implied a sexual story line.,Midwest,Rural,0,1,1
"A parent talked to me about the book Swim the Fly has a blurb on the cover about boys wanting to see a naked girl. It was a Abe Lincoln award nominee at the time so it was on display. I asked her if she had ever read the book and she said she had not. I told her that I had and although the boys do have that as a goal it doesn't work out the way that they thought it would (they see naked older people) and by the end of the book the protagonist matures and learns to value girls for more than just their looks. The cover is designed to get boys to read the book, but the book itself has a positive message and I invited her to read it. I also asked her if she wanted to make a formal challenge. We talked some more and she decided to drop the matter.",Midwest,Suburban,0,0,1
A parent told me that I should remove a book because it contained nude images of fairies... She did not seem open to discussion on the subject so I removed the book for the duration of her visit and then replaced it on the shelf. End of story.,Pacific,Suburban,1,1,0
A parent told me that she and her boys were listening to an audiobook in the cart and she didn't feel it was appropriate for their age level. I had read the book so I informed her that the book was not for her boys but was appropriate for an older audience. I told her to read reviews before she borrowed audiobooks or any book to know the target audience.,Northeast,Suburban,1,1,0
A situation where a middle school parent objected to her foster child borrowing a book relating to teenagers and sex. She wanted the book to not be a part of the collection. I suggested that the choice of this book might be a good opportunity for conversation that the student could find useful - if not with the foster parent than with someone else.,Northeast,Small Town,0,1,0
"A student checked out Speak by L.H. Anderson for a book report and her mother made her bring it back and get something else, and suggested the book be removed from the library. I did not remove it from the library. There was another book years ago that a parent challenged for bad language. Because it wasn't that great of a book anyway, and was old and not being checked out very often at all, I just removed it and didn't think twice about it.",Midwest,Small Town,1,1,0
