librarian_comments,region,locality,elementary_school,middle_school,high_school
A middle school library's collection should cover a wide range of topics that enhances the core curriculum. The level of maturity of the readers influences the types of books purchased.,Midwest,Small Town,0,1,0
A parent complained and the principal asked that the item be removed.,Northeast,Suburban,0,1,0
Actually I find I am being more liberal with content because I think that our parent population is more tolerant.,South Central,Urban,1,1,0
"Actually less, since society and our local community members are more broad-minded than in previous decades. I am also bolder in making selection choices. We are a very large school with a diverse population. We can't ignore providing reading materials which reflect the realities of all our students' lives.",Midwest,Suburban,0,1,0
Administrator pressure,Northeast,Rural,1,1,0
"Adult level controversial subject matter is making its way into literature for younger readers. Without the benefit of mature discussion or the understanding of unintended consequences of behavior, a younger reader could draw the conclusion that certain behavior is less harmful or even acceptable in society.",South Atlantic,Suburban,1,1,0
"An administrator at one of the buildings at which I serve as the library media specialist pre-censored several books for his school at the direction of the superintendent, and I now consider controversial subject matter more carefully at other levels.",Midwest,Small Town,1,1,1
"Authors are actually writing more books about controversial topics, which is a good thing, but people are also much more angered by and vocal about controversial topics than ever before. I think parents are more engaged in their children's lives and what they are reading, which is also a good thing.",Pacific,Small Town,1,0,0
Authors are more forthcoming in addressing controversial subject matter in current YA books.,N/A,Small Town,0,0,1
"Because authors are including more controversial subject matter in their books, and also many parents and school board members are getting more involved.",South Central,Suburban,0,0,1
Because families are very sensitive to what is available to their children and are often vocal in a negative way when it comes to difficult subject matter being openly available in the library.,Northeast,Small Town,1,1,0
Because of administrators or school board members,Northeast,Suburban,1,0,0
Because of the demographics of this particular school and area. The Principal and the parents prefer not to have this type of subject matter in the younger grades. I would possibly include it in our designated 7th/8th grade only section.,Mountain,Suburban,1,1,0
Because our curriculum director has begun censoring my purchases.,Midwest,Suburban,0,1,0
Because several issues in society have become more opened and acceptable.,Midwest,Suburban,0,0,1
Because so many are about things that I don't feel are appropriate for middle school children (or anyone for that matter).,South Central,Small Town,0,1,0
Because the issues appear in more books.,South Atlantic,N/A,0,0,0
Because there is so much more of it.,South Atlantic,N/A,1,1,1
Because there seems to be more people censoring our selection.,Midwest,N/A,0,0,0
Because these issues are in many more books.,South Atlantic,Suburban,1,1,0
"Being more aware of the content that the books discuss and how it is discussed. As long as it is presented in an informational or helpful manner versus  ""everyone is doing it and so should you.""",South Atlantic,Rural,0,1,0
Being more mindful of School Board policies in order to minimize challenges.,Northeast,Small Town,1,1,0
"Believe it or not, the district has become more conservative and whereas I did not have a problem ordering books on any topic in the past, as long as it was age level appropriate, today my choices are continually questioned by administrators.",Northeast,Suburban,0,1,0
Books are more graphic.,Midwest,Urban,0,0,1
Budgets are in jeopardy and I must purchase wisely without controversy.,Midwest,Suburban,1,0,0
Children's books have more sexual content at earlier reading levels. Publishers will do whatever it takes to sell books.,South Atlantic,Suburban,1,0,0
Climate of school.,Midwest,N/A,1,1,1
Community is more polarized over many issues.,Midwest,Small Town,0,0,1
Community standards have changed and the administration has changed.,Mountain,Rural,0,1,1
Concern over parent complaints and potential scrutiny by supervisors.,South Atlantic,Suburban,0,1,0
"Controversial matter is not only much more prevalent in children's lit, but often treated in a flippant manner.",South Central,Suburban,1,1,0
Controversial topics seem to be more prevalent now than a decade ago. I don't know about one or two years ago.,Mountain,Rural,0,1,1
"Controversial/Inappropriate subject matter used to be something that was confined to young adult and adult selections. It is now appearing in younger and younger literature and it is difficult to trust reviews. It's often ""slipped"" in and it isn't until you've purchased the book and read it in its entirety that you realize it's not appropriate for your collection.",South Atlantic,Suburban,1,1,1
Everyone is offended by everything these days...so I weigh how I will defend the book even before it is challenged.,Midwest,Small Town,0,1,1
"For the tweens, some of the topics can be ""touchy subjects"" so you need to be careful. Today, our students are much more aware of things.",Northeast,Suburban,0,1,0
General conditions warrant that we be cautious in our choices so as not to exclude/inflame.,Pacific,Suburban,0,1,0
Greater opinions of the crowds.,Northeast,Urban,1,0,0
"How will students process the subject matter and what effect will this have on them. How will parents feel about their children reading certain controversial books. Many times I have to ask myself, how would I feel if my child was reading this material.",South Central,Small Town,0,1,0
"I am in a 5-8 grade school - which is really tricky because I don't separate the collection. Swearing and relationship/sex content is showing up in books for younger children now. What used to be 9-12 is pushed down to 7th now. Also I feel like there is an expectation that content provided from a school should be sanitized? I don't know if that is the right word. But even kids say - ""oh there's a swear word in that book."" Like they haven't heard that on TV, music lyrics - or the Republican debates!",Midwest,Suburban,1,1,0
"I am in a smaller suburban school and two years ago I was in a more urban, culturally and racially mixed school.",Northeast,Suburban,0,1,0
"I am looking to increase our collection in the areas of LGBTQ, Residential Schools, current topics in that are relevant, such as missing and murdered indigenous women, discrimination, etc",Canada,Urban,1,1,0
I am more aware of how often stereotypes (of American Indians for example) are perpetuated in children's books.,South Atlantic,Suburban,1,0,0
I am more sensitive to violence because of a thoughtful comment by a teacher.,Northeast,Urban,1,0,0
"I do not have the staff to allow me to deal with controversy - meetings, letters, etc. - nor do we have the budget to buy books that will not work for the whole student body.",Midwest,Suburban,1,0,0
I don't believe in any form of censorship.,N/A,N/A,0,0,0
"I have found that some topics (LGBT and racial for example) are less controversial to talk about and therefore, read about.",Northeast,Suburban,1,1,0
"I have had administrative push-back regarding the books I am buying that ignores the established book complaint process. I am also told that selecting these books puts my job at risk because I am not promoting the ""values"" of my school community.",Northeast,Urban,1,1,0
I need to physically see or get recommendation from another librarian before I purchase.,Pacific,Suburban,1,0,0
I notice a lot more books that are controversial. My school does not support this trend in children's literature.,Midwest,Suburban,1,0,0
I pass on titles that are poorly written and full of vulgar slang and or inappropriate dialog just for the shock value. I bought The Martian for my middle school even though it has profanity because we offer Engineering as an 8th grade elective. The title celebrates engineers and science.,Pacific,Suburban,0,1,0
I purchase more new fiction.,South Central,Small Town,0,0,1
I read for an Awards program where the publishers allow us to keep our books at the end of the year. Sometimes I am a little shocked about what I find in a few of these books. I am of two minds about them. One is that it is censorship to not put these books on the shelves. The reality is that some kids are very interested in them. The other is that some of the sexual content is almost (not quite) pornographic and I am not sure they are appropriate for high school students. Feedback about this would be nice. :-),Pacific,Urban,0,0,1
I select for children as young as 10 years old....I need to be very thoughtful of their age when choosing appropriate material.,Northeast,Rural,1,1,0
I think teen books are much more graphic than they were a few years ago. Before it was considered horrible if it had the f word in it once and now some books have it multiple times on every page.,South Central,Rural,0,0,1
"I was at a middle school previously and am at an elementary school now. Also, many people are more verbal about 'triggers' than protecting free speech.",Northeast,Suburban,1,0,0
"I was involved in a book challenge several years ago and it was horrific. I was the victim of attacks by people in my community by social media. Furthermore, the tea party movement and the anti-Common Core movement has inflamed many of our evangelical, ultra-conservative citizens.",South Atlantic,Rural,1,0,0
I work with younger students than I did previously.,Midwest,N/A,0,0,0
"If I feel that it is important to add a particular book ( e.g. George by Alex Gino) to my elementary school library but know that some teachers might object, I have to be proactive and get the principal's endorsement as a hedge against challenge. This involves some strategizing.",Pacific,Suburban,1,1,0
"If I have questions or concerns, I will read the book personally, not relying solely on reviews. Therefore I am more knowledgeable if a problem should arise.",Pacific,Suburban,0,0,1
I'm covering multiple buildings and students at my Intermediate (4-6) often request books from the Middle school where I also work - I feel students are being exposed in detail to topics they are not ready for simply because they want to read what they are seeing advertised or parents/older siblings are reading. I tell them there is nothing wrong with the book they have requested however based on the content I have not selected it for the Intermediate level and if they are still interested in the book they have 2 choices - the public library or wait until they get to the middle school.,Northeast,Suburban,1,1,0
"I'm not proud of this, but heightened tensions (sometimes by parents) around these topics have given me pause when considering what books to purchase for our middle school.",Northeast,Suburban,1,1,0
"In an elementary school, some of our students do not have adequate skills when self-selecting books. They choose a book based on an interesting or exciting cover rather than its content or level and could end up with a book that is meant for a more mature reader.",Midwest,N/A,0,0,0
"In elementary we are usually very cautious about controversial materials, but if a book is good, with good references, I will purchase the book, read it to the kids, and discuss the controversies.",South Central,Urban,1,0,0
"In the past the YA books weren't as edgy or as mature. My 8th graders want to read YA books that my 6th graders are not ready for and that their parents would not appreciate in the MS library. There are wonderful novels that are fine except for the 3 pages of hot romance culminating in sex. Even when delicately handled, that does not fit into my town's middle school library.",Northeast,Small Town,0,1,0
Increased parent feedback.,South Atlantic,Small Town,1,0,0
It appears that authors are more increasingly pushing boundaries in young adult books especially in the fiction area.,Pacific,Urban,0,0,1
"It feels like parents feel they can be much more vocal about their objections to library materials, and they don't feel like they need to be polite about it. I recently was called on the carpet by a parent for allowing his son, a 7th grader, to check-out a book intended for students in grades 9-12. His son had been checking out materials aimed at upper school students since this academic year began and the father had never said a word. Then, the book Reality Boy made its way into his house and then the battle began.",South Central,Suburban,0,1,1
It is in more books! I am at an elementary school so I have to watch what they are exposed to.,Mountain,Suburban,1,0,0
It is much more prevalent in YA literature.,Midwest,Urban,0,0,1
"It just seems like we need to justify everything. Usually complaints leads to the removal of the book, which means I just wasted those funds.",Mountain,Small Town,1,0,0
It seems that there are more books published now with controversial material. Making it even more difficult sometimes you don't realize that the book contains material that might be objectionable until you have read half the book.,South Central,Suburban,1,1,0
Just more aware.,Northeast,Suburban,0,0,1
Kids books seem to be more controversial and edgy.,South Central,Urban,1,1,1
Many more books are now controversial than a few years ago.,Midwest,Urban,1,0,0
"Many of the newer books, go into much more detail about some of this subject matter, and I have to weight if it fits into our school culture.",Pacific,Suburban,1,1,0
More and more books have controversial matter.,South Central,Urban,1,1,1
More and more the laws are leaning toward groups most vocal about their agendas. Are school librarians covered under the free speech amendment? Who will support us if we are questioned or disciplined about our content choices and what we deem suitable for our patrons? The pay and support fails to outweigh the possible outcome of such decisions.,Mountain,Urban,1,1,0
More aware of the issues.,South Central,Small Town,1,0,0
More books are being written with controversial subject matter.,Midwest,Suburban,1,1,0
"More books are now created with controversial language, sexual content, etc. than a couple of years ago.",Midwest,Suburban,0,1,0
More books containing controversial subject matter are being written for children.,South Central,Rural,0,1,0
More books for school-age children contain controversial subject matter.,South Atlantic,Small Town,0,1,0
More books targeted at my age group have controversial issues now.,South Central,Small Town,0,1,0
More books with controversial content are being published.,Pacific,Small Town,0,1,0
More controversial books available. Subjects are being broached at earlier stages by some authors.,Northeast,Suburban,1,0,0
More crazies out there. :(,Midwest,Suburban,0,0,1
More prevalent in YA Literature,Midwest,Suburban,0,1,0
More YA books contain this content than years ago.,Northeast,Small Town,1,1,0
"Mostly because parents are more sensitive and aware. My school is pre-K-2 so many of my decisions are based on age-appropriateness about issues such as slavery, war, Holocaust.",Northeast,Suburban,1,0,0
My district has a very rigid selection policy for approved books.,South Atlantic,Urban,1,0,0
"My student body is elementary, pre-K through 6th grade in a very conservative community.",Northeast,Small Town,1,1,0
Negative influence it might have on students who might already be on the brink of harmful or destructive behavior.,N/A,Urban,0,1,0
New administration.,Northeast,Urban,0,1,1
"Nothing is taboo these days and most students have been exposed to too much inappropriate subject matter. However, we as teachers must address material that students may read independently and have no way of putting it in proper context.",Northeast,Suburban,0,0,1
"One of our GA Peach selections last year had the word ""ass"" in the title. Having this word in the title did not please our principal and we did not include it in our Peach selections display that year.",South Atlantic,Rural,0,0,1
Only because I moved from grades 6-8 down to 4-5.,Northeast,Suburban,1,0,0
"Our legislature has taken away protections for educators in regards to ""harmful materials"" to students. Also we have no due process rights now.",Midwest,Small Town,1,0,0
Our society is so much more polarized when it comes to social issues.,Midwest,Urban,1,1,0
Our young people are being exposed to more mature situations at a younger and younger age. They are no longer shocked by the same content they once were.,South Central,Suburban,0,1,0
Parent concerns.,N/A,Suburban,1,1,0
parent questioned a title.,Northeast,Small Town,1,1,0
"Parents and community members are more outspoken about controversial materials. Also, it seems that publishers are publishing more young adult material with adult content.",Midwest,Rural,0,1,1
